"name","major_rank","major","percent"
"University of Massachusetts--Dartmouth",4,"Social Sciences",10
"University of Massachusetts--Dartmouth",5,"Psychology",8
"University of Montana",1,"Business, Management, Marketing, and Related Support Services",19
"University of Montana",2,"Social Sciences",12
"University of Montana",3,"Visual and Performing Arts",11
"University of Montana",4,"Natural Resources and Conservation",9
"University of Montana",5,"Education",9
"Western Michigan University",1,"Business, Management, Marketing, and Related Support Services",20
"Western Michigan University",2,"Health Professions and Related Programs",11
"Western Michigan University",3,"Multi/Interdisciplinary Studies",8
"Western Michigan University",4,"Education",6
"Western Michigan University",5,"Engineering",6
"Florida International University",1,"Business, Management, Marketing, and Related Support Services",28
"Florida International University",2,"Psychology",12
"Florida International University",3,"Social Sciences",8
"Florida International University",4,"Communication, Journalism, and Related Programs",7
"Florida International University",5,"Biological and Biomedical Sciences",6
"Louisiana Tech University",1,"Business, Management, Marketing, and Related Support Services",18
"Louisiana Tech University",2,"Engineering",13
"Louisiana Tech University",3,"Education",6
"Louisiana Tech University",4,"Health Professions and Related Programs",6
"Louisiana Tech University",5,"Biological and Biomedical Sciences",5
"Southern Illinois University--Carbondale",1,"Education",13
"Southern Illinois University--Carbondale",2,"Business, Management, Marketing, and Related Support Services",9
"Southern Illinois University--Carbondale",3,"Engineering Technologies and Engineering-Related Fields",8
"Southern Illinois University--Carbondale",4,"Health Professions and Related Programs",8
"Southern Illinois University--Carbondale",5,"Social Sciences",6
"University of Alabama--Huntsville",1,"Engineering",26
"University of Alabama--Huntsville",2,"Business, Management, Marketing, and Related Support Services",23
"University of Alabama--Huntsville",3,"Health Professions and Related Programs",19
"University of Alabama--Huntsville",4,"Biological and Biomedical Sciences",6
"University of Alabama--Huntsville",5,"Computer and Information Sciences and Support Services",5
"University of Missouri--Kansas City",1,"Business/Commerce, General",18
"University of Missouri--Kansas City",2,"Registered Nursing/Registered Nurse",17
"University of Missouri--Kansas City",3,"Liberal Arts and Sciences/Liberal Studies",10
"University of Missouri--Kansas City",4,"Chemistry, General",7
"University of Missouri--Kansas City",5,"Psychology, General",6
"Utah State University",1,"Communication Sciences and Disorders, General",10
"Utah State University",2,"Economics, General",8
"Utah State University",3,"Business Administration and Management, General",4
"Utah State University",4,"Physical Education Teaching and Coaching",4
"Utah State University",5,"Psychology, General",3
"Ashland University",1,"Education",23
"Ashland University",2,"Business, Management, Marketing, and Related Support Services",19
"Ashland University",3,"Health Professions and Related Programs",16
"Ashland University",4,"Biological and Biomedical Sciences",9
"Ashland University",5,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",7
"Benedictine University",1,"Business, Management, Marketing, and Related Support Services",31
"Benedictine University",2,"Health Professions and Related Programs",27
"Benedictine University",3,"Psychology",9
"Benedictine University",4,"Biological and Biomedical Sciences",7
"Benedictine University",5,"Social Sciences",5
"California State University--Fresno",1,"Business, Management, Marketing, and Related Support Services",13
"California State University--Fresno",2,"Health Professions and Related Programs",12
"California State University--Fresno",3,"Psychology",8
"California State University--Fresno",4,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",7
"California State University--Fresno",5,"Liberal Arts and Sciences, General Studies and Humanities",7
"Gardner-Webb University",1,"Health Professions and Related Programs",27
"Gardner-Webb University",2,"Business, Management, Marketing, and Related Support Services",20
"Gardner-Webb University",3,"Psychology",17
"Gardner-Webb University",4,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",6
"Gardner-Webb University",5,"Biological and Biomedical Sciences",5
"Georgia State University",1,"Business, Management, Marketing, and Related Support Services",25
"Georgia State University",2,"Social Sciences",10
"Georgia State University",3,"Psychology",9
"Georgia State University",4,"Visual and Performing Arts",8
"Georgia State University",5,"Biological and Biomedical Sciences",7
"Shenandoah University",1,"Registered Nursing/Registered Nurse",25
"Shenandoah University",2,"Business Administration and Management, General",11
"Shenandoah University",3,"Psychology, General",7
"Shenandoah University",4,"Biology/Biological Sciences, General",6
"Shenandoah University",5,"Criminal Justice/Law Enforcement Administration",6
"University of South Dakota",1,"Health Professions and Related Programs",37
"University of South Dakota",2,"Business, Management, Marketing, and Related Support Services",12
"University of South Dakota",3,"Education",9
"University of South Dakota",4,"Biological and Biomedical Sciences",6
"University of South Dakota",5,"Psychology",6
"Wayne State University",1,"Psychology, General",12
"Wayne State University",2,"Biology/Biological Sciences, General",6
"Wayne State University",3,"Health Professions and Related Clinical Sciences, Other",4
"Wayne State University",4,"Organizational Behavior Studies",4
"Wayne State University",5,"Social Work",4
